422;0.000000;0.000000;0.000000;0.000000;1.000000;-1.508200;187.000000;372.000000;187.000000;356.000000;186.000000;410.000000;186.000000;394.000000;187.000000;364.000000;186.000000;402.000000;190.000000;364.000000;184.000000;364.000000;189.000000;402.000000;183.000000;402.000000;237.000000;364.000000;237.000000;403.000000;240.000000;383.000000;234.000000;383.000000;181.000000;372.000000;175.000000;356.000000;175.000000;410.000000;174.000000;394.000000;215.000000;383.000000
500;8.020126;0.000000;-0.025153;-0.027950;0.842105;-14.015696;186.957153;372.061188;186.952072;356.055511;185.974716;410.056122;185.967682;394.069366;187.955826;365.062103;179.970825;397.067749;189.964462;364.058350;183.948181;364.058350;188.971252;402.062744;182.973938;402.062744;236.000000;364.021545;236.000000;403.021271;239.973190;383.013947;233.968552;383.014832;180.946014;372.098083;174.940567;356.099823;174.972107;410.085602;173.964508;394.109253;214.963638;383.013855
579;20.047073;0.000000;-0.050674;-0.029823;0.710526;-19.046991;186.924423;372.133698;186.923187;356.140778;185.960968;410.172394;185.943909;394.182587;188.925629;365.133270;179.941635;391.169556;189.936111;364.137238;183.911026;364.137238;188.957535;402.177490;182.958054;402.177490;236.000000;364.059998;236.000000;403.061462;239.947998;383.060059;233.954285;383.054443;180.902924;372.169098;174.886414;356.165894;174.949951;410.186157;173.926392;394.201385;214.947067;383.052856
657;22.019920;0.000000;-0.076562;-0.005663;0.736842;-20.256769;186.911514;372.211914;186.934967;356.217621;185.972748;410.238831;185.934586;394.259674;189.909363;364.215179;179.931274;391.267059;189.918564;364.214783;183.892410;364.214783;188.969330;402.249268;182.969849;402.249268;236.000000;364.092072;236.000000;403.112946;239.944260;383.110352;233.948883;383.107391;180.882950;372.270325;174.855331;356.301422;174.948090;410.274261;173.919098;394.307465;214.949890;383.103455
735;22.071548;0.000000;-0.076349;-0.009865;0.736842;-20.225861;186.904617;372.382111;186.941101;356.380096;185.978882;410.448608;185.930420;394.455658;189.901276;364.374878;179.927719;391.459442;189.910507;364.381104;183.898544;364.381104;188.975464;402.452148;182.966476;402.452148;236.000000;364.133148;236.000000;403.212067;239.959671;383.177704;233.967255;383.182098;180.869965;372.444336;174.837479;356.503448;174.953491;410.496124;173.915237;394.517426;214.963318;383.208893
813;22.107498;0.000000;-0.076231;-0.010945;0.736842;-20.188120;186.907639;372.432190;186.944122;356.427490;185.983109;410.507263;185.933441;394.520386;189.896774;364.415894;179.930740;391.535095;189.906052;364.429840;183.901566;364.429840;188.979477;402.513824;182.969498;402.513824;236.000000;364.183502;236.000000;403.214569;239.959671;383.205963;233.962204;383.210144;180.848724;372.546356;174.814484;356.614105;174.962540;410.593414;173.922577;394.622040;214.956223;383.244202
891;22.107277;0.000000;-0.076253;-0.010952;0.736842;-20.188234;186.908066;372.432404;186.944550;356.427704;185.984085;410.507477;185.934494;394.520599;189.897629;364.416168;179.931549;391.535309;189.906937;364.430054;183.902069;364.430054;188.978821;402.514038;182.968842;402.514038;236.000000;364.183807;236.000000;403.238495;239.971893;383.228455;233.971024;383.230225;180.849030;372.546295;174.814789;356.614258;174.962830;410.593597;173.923233;394.622223;214.955551;383.243500
969;22.070984;0.000000;-0.076365;-0.014147;0.736842;-20.198027;186.914932;372.566101;186.949738;356.541260;185.990158;410.591614;185.938324;394.619629;189.901886;364.537567;179.935059;391.644440;189.911392;364.553680;183.907730;364.553680;188.983978;402.605621;182.971466;402.605621;236.000000;364.199493;236.000000;403.303467;239.986771;383.269440;233.988235;383.272583;180.856476;372.673706;174.823715;356.711578;174.968826;410.677856;173.925049;394.721039;214.962494;383.328888
1047;22.078461;0.000000;-0.077750;-0.014318;0.763158;-21.973381;186.971786;372.580811;186.990860;356.550018;186.099838;410.601318;186.029648;394.632874;189.954483;364.544067;179.021561;391.655426;189.963882;364.565430;183.963196;364.565430;189.079071;402.617096;183.072144;402.617096;237.000000;364.204529;237.000000;403.312439;240.024689;383.269257;234.032181;383.272858;180.917496;372.678680;174.880127;356.715973;175.078979;410.689301;174.015808;394.730774;215.021912;383.325439
1125;20.078590;0.000000;-0.078722;-0.014242;0.789474;-21.284725;187.009766;372.577942;187.023712;356.547150;186.129898;410.598450;186.058044;394.637451;189.991440;364.541199;179.045639;392.653503;190.000900;364.562531;184.000168;364.562531;189.111862;402.617950;183.096939;402.617950;237.000000;364.204010;237.000000;403.303223;240.044235;383.262573;234.052292;383.268311;180.956116;372.664215;174.918350;356.701477;175.100800;410.691193;174.035339;394.732117;215.037262;383.324860
