0, Level_Start 
0 ,020
672 ,430
703 ,230
1344 ,431
1375 ,330
1625 ,331
1672 ,430
2156 ,431
2203 ,330
2797 ,331
3422 ,030
3969 ,031
, 09
3969, Level_End 
0, Level_Start 
6766 ,020
7328 ,230
7672 ,030
7781 ,430
8172 ,431
8297 ,430
8328 ,031
8422 ,431
8453 ,330
9047 ,331
9547 ,030
9672 ,430
9828 ,431
9875 ,430
9969 ,031
10047 ,431
10078 ,330
10328 ,331
10375 ,430
10703 ,431
10750 ,330
11375 ,331
11422 ,030
11594 ,430
11828 ,031
12078 ,431
12125 ,330
12453 ,331
12500 ,330
12719 ,331
12750 ,430
13000 ,030
13750 ,011
13875 ,431
14047 ,430
14219 ,431
14328 ,031
14422 ,430
14594 ,030
14672 ,20
14797 ,00
14875 ,00
14922 ,031
15000 ,030
15047 ,431
15078 ,20
15344 ,031
15406 ,330
15500 ,030
15578 ,20
15844 ,031
16125 ,331
16172 ,030
16500 ,430
16547 ,511
16625 ,431
16672 ,430
16953 ,031
17500 ,030
18203 ,431
18250 ,330
18328 ,031
18500 ,331
18547 ,430
19297 ,431
19328 ,330
19750 ,331
19797 ,430
20047 ,431
20078 ,330
20297 ,331
20328 ,430
20625 ,030
21297 ,031
22375 ,030
22422 ,431
22578 ,430
22875 ,431
22953 ,030
23469 ,330
23547 ,031
23844 ,331
23875 ,430
24000 ,431
24078 ,030
24203 ,430
24703 ,031
25000 ,431
25047 ,330
25078 ,331
25125 ,430
25375 ,431
25625 ,221
26297 ,030
26453 ,330
26953 ,031
27000 ,331
27625 ,030
27828 ,430
28172 ,431
28203 ,330
28500 ,331
28531 ,430
28656 ,031
29844 ,431
29875 ,030
30047 ,430
30297 ,031
30328 ,030
30594 ,231
, -19
30594, Level_End 
