0, Level_Start 
0 ,020
532 ,230
1329 ,431
1360 ,030
1485 ,430
1875 ,031
1907 ,431
3110 ,030
3282 ,430
3782 ,00
3875 ,00
3907 ,031
4110 ,030
4204 ,30
4329 ,431
4454 ,031
4500 ,030
4579 ,20
4704 ,430
4829 ,031
4954 ,030
5032 ,20
5250 ,00
5282 ,031
5454 ,431
5485 ,330
6204 ,331
6579 ,120
7407 ,430
7875 ,030
7907 ,20
8125 ,031
8157 ,431
8204 ,030
8250 ,20
8360 ,430
8454 ,031
8579 ,030
8610 ,20
8829 ,031
8907 ,030
8954 ,20
9157 ,031
9329 ,030
9375 ,20
9579 ,031
10204 ,431
10375 ,030
10500 ,430
10782 ,031
10875 ,431
10907 ,330
11250 ,331
12657 ,330
12985 ,331
13204 ,430
13250 ,431
13454 ,030
13922 ,330
14329 ,030
14407 ,331
14454 ,430
14782 ,431
15407 ,430
15532 ,431
15657 ,030
16110 ,031
16360 ,030
16579 ,430
16829 ,031
16907 ,431
17829 ,231
, 29
17829, Level_End 
0, Level_Start 
20625 ,020
21282 ,430
21407 ,230
21954 ,030
22329 ,431
23813 ,030
23985 ,430
24610 ,031
24829 ,030
24907 ,20
25157 ,031
25250 ,030
25329 ,20
25579 ,031
25704 ,030
25782 ,20
25907 ,00
26032 ,031
26157 ,030
26250 ,20
26485 ,031
27032 ,431
27063 ,330
27657 ,331
27704 ,430
28282 ,431
28954 ,030
29485 ,330
29860 ,331
29907 ,430
29985 ,031
30735 ,030
31079 ,231
31282 ,431
31407 ,031
31579 ,230
31875 ,430
31954 ,431
32157 ,030
32532 ,430
32625 ,031
32735 ,431
33110 ,030
33360 ,430
33625 ,031
33735 ,431
33782 ,330
34110 ,331
34610 ,330
34954 ,331
35532 ,030
35782 ,430
35985 ,031
36110 ,431
36782 ,430
36907 ,030
37579 ,031
38954 ,030
39110 ,430
39329 ,031
39407 ,431
39610 ,030
39860 ,430
40110 ,031
40282 ,431
40454 ,030
40704 ,430
40829 ,031
41032 ,431
41079 ,330
41407 ,331
41657 ,430
41782 ,030
42454 ,031
43032 ,030
43704 ,031
43829 ,030
44329 ,231
, -19
44329, Level_End 
