0, Level_Start 
0 ,020
875 ,230
1079 ,231
1235 ,030
1750 ,031
2657 ,430
2829 ,230
3704 ,431
4282 ,430
4610 ,431
4657 ,330
5110 ,331
5157 ,430
5625 ,431
5657 ,030
5907 ,430
6157 ,031
6204 ,030
6875 ,011
6907 ,431
6954 ,430
7204 ,031
8407 ,030
9079 ,031
9954 ,030
10375 ,031
10407 ,431
10579 ,030
10782 ,430
11079 ,031
11407 ,431
11532 ,330
11829 ,331
12032 ,430
12750 ,431
12907 ,231
, 19
12907, Level_End 
0, Level_Start 
15735 ,020
16454 ,430
16532 ,230
17250 ,431
17532 ,430
17907 ,431
17954 ,330
18704 ,331
19125 ,030
19704 ,031
20079 ,030
20782 ,330
20860 ,331
20907 ,430
21125 ,030
21782 ,031
22829 ,431
22860 ,030
23079 ,430
23375 ,431
23500 ,030
23704 ,430
24000 ,031
24110 ,431
24500 ,430
24532 ,030
24657 ,430
25157 ,031
25579 ,431
25610 ,330
25782 ,331
25954 ,030
26750 ,031
27079 ,330
27625 ,331
27657 ,430
28000 ,030
28079 ,430
28485 ,031
28579 ,431
28625 ,430
29657 ,431
29704 ,030
29860 ,430
30110 ,031
30235 ,030
30422 ,231
, -19
30422, Level_End 
