0, Level_Start 
0 ,020
844 ,430
891 ,230
1344 ,431
1719 ,430
2047 ,030
2469 ,031
3219 ,431
3344 ,430
3547 ,030
4219 ,431
4375 ,030
4594 ,430
4891 ,031
5141 ,030
5672 ,011
5719 ,431
5766 ,430
5922 ,031
6250 ,030
6812 ,221
6891 ,031
7391 ,431
7422 ,330
7641 ,230
7812 ,331
7844 ,330
8141 ,331
8172 ,430
8250 ,030
8937 ,031
9266 ,431
9344 ,430
9516 ,030
10219 ,031
10625 ,030
11141 ,011
11344 ,011
11422 ,20
11469 ,00
11547 ,00
11594 ,00
11687 ,031
11844 ,431
11969 ,030
12094 ,430
12266 ,031
12391 ,030
12641 ,231
, -19
12641, Level_End 
